Azienda,Conosciuti a / Fonte,Contacting,Email,Sitoweb,Indirizzo,cap,città,provincia,regione,contatto,Telefono,P.Iva,CODICE FISCALE,CODICE UNIVOCO,Annotazioni,shop on line,Closing,Presentazione,Ultimo contatto,Duplicato
Azienda Agricola Biologica D'Ausilio,,,info@agricoladausilio.it,www.agricoladausilio.it,"Via Sciobaco, 27",04022,Fondi,Latina,Lazio,,3939867983,,,,inviato messaggio su sito no e-mail,,,,12/11/2024,
Tenuta Stella,,,info@tenutastellacollio.it,tenutastellacollio.it/,Via Sdencina 1,34070,Dolegna del Collio,Gorizia,Friuli Venezia Giulia,Erika Barbieri,3358486016,,,,fa solo ribolla e friulano,,,,2/19/2025,
Donnafugata,,,info@donnafugata.it,donnafugata.it,Via Sebastiano Lipari 18,91025,Marsala,Trapani,Sicilia,,ND,,,,,,,,,
Cantina Monticiana,,,info@cantinamonticiana.com,cantinamonticiana.com,"Via Selvapiana, 44",03025,San Giovanni Campano,Frosinone,Lazio,,3661481059,,,,,,,,12/11/2024,
Venturini,,,ordiniventurini@gmail.com,viniventurini.com/,"Via Semonte, 20",37029,San Pietro in Cariano,verona,Veneto,Daniele,3355219689,,,,,,,,12/9/2024,
Leone De Castris,,,info@leonedecastris.com,leonedecastris.com/,"Via Senatore De Castris, 26",73015,Salice Salentino,Lecce,Puglia,,0832731112,,,,si hospitality si shop,,,,2/6/2025,
Az. Agricola Carlo Boscaini ,,,vino@boscainicarlo.it,boscainicarlo.it,"Via Sengia, 15",37015,Sant'Ambrogio Di Valpolicella,Verona,Veneto,,457731412,,,,inviata email presentazione ha risposto il 2 dic interessato mandato contratto,,,,12/11/2024,
Antonio Mazzella,,,ischiavini@ischiavini.it,ischiavini.it/vini/,"Via Serbatorio, 2 - Frazione Campagnano",80070,Ischia,Napoli,Campania,,081901541,,,,,,,,12/5/2024,
Filodivino,,,info@filodivino.it,filodivino.it/,"Via Serra, 46",60030,San Marcello,Ancona,Marche,,731026139,,,,si visite anche hospitality,,,,12/6/2024,
Terracruda,FIVI,,luca@terracruda.it,terracruda.it/,"Via Serre, 28, 61040 - Fratte Rosa (Pu)",61040,Fratte Rosa,Pesaro-Urbino,Marche,,721777412,,,,si visite prenotazione da booking su sito,,,,12/4/2024,
Luigi Maffini,FIVI,,lm@luigimaffini.it,luigimaffini.it,"Via Serri, 34D",84050,Giungano,Salerno,Campania,,8281997568,,,,,,,,12/5/2024,
Cantina Margò,,,info@cantinamargo.com,cantinamargo.com/,"Via Settevalli, 669 - Località Casenuove",06123,Perugia,Perugia,Umbria,,3476976464,,,,si visite solo su prenotazione via mail,,,,12/17/2024,
Mulleri,,,info@mulleri.it,mulleri.it/,"Via Silanus, 32",09044,Quartucciu,Cagliari,Sardegna,Daniela Fanari,3476436366,,,,vermentino di sardegna,,,,12/15/2024,
Cantina Terlano,,,office@cantina-terlano.com,cantina-terlano.com,"Via Silberleiten, 7",39018,Terlano,Bolzano,Trentino Alto Adige,,0471 257135,,,,,,,,,
Cantina Andriano,,,office@cantina-andriano.com,kellerei-andrian.com,"Via Silberleiten, 7",39018,Terlano,Bolzano,Trentino Alto Adige,,0471257156,,,,,,,,,
La Ganga,FIVI,,info@lagangawines.it,ND,"Via Sile, 23",33095,San Giorgio della Richinvelda,Pordenone,Friuli Venezia Giulia,,39042794016,,,,,,,,2/16/2025,
Marzaghe,,,info@marzaghefranciacorta.it,marzaghefranciacorta.it,"Via Parlamento, 28",25030,Zocco,Brescia,Lombardia,,030 7267245,,,,,,,,,
Az. Agr. Cavalchina - La Rosa ,,,info@cavalchina.com,tenutedifamiglia.com/,"Via Sommacampagna, 7",37066,Sommacampagna,Verona,Veneto,,045516002,,,,,,,,12/15/2024,
Giovanni Iannucci,FIVI,,info@giovanniiannucci.com,giovanniiannucci.com,"Via Sorgenza, 87",82034,Guardia Sanframondi,Benevento,Campania,,3334041049,,,,,,,,12/5/2024,
Vosca,FIVI,,info@voscavini.it,voscavini.it,Via Sottomonte 19,34071,Brazzano,Gorizia,Friuli Venezia Giulia,,3403410208,,,,,,,,12/8/2024,
Zorzon,,,info@zorzon.it,zorzon.it/it/,Via Sottomonte 75,34071,Brazzano,Gorizia,Friuli Venezia Giulia,,048162398,,,,No ribolla Gialla,,,,3/10/2025,
Conte D’Attimis-Maniago,,,info@contedattimismaniago.it,contedattimismaniago.it/,"Via Sottomonte, 21",33042,Buttrio,Udine,Friuli Venezia Giulia,,0432674027,,,,si visite,,,,2/10/2025,
Castello Di Spessa,,,info@castellodispessa.it,castellodispessa.it/,Via Spessa 1,34070,Capriva del Friuli,Gorizia,Friuli Venezia Giulia,,481808124,,,,Già distribuito linea classica da valutare,,,,2/14/2025,
Vidussi Gestione Agricole,,,nd,ND,Via Spessa 18,34070,Capriva del Friuli,Gorizia,Friuli Venezia Giulia,,ND,,,,,,,,,
Conti Faina ,,,info@contifaina.it,contifaina.it/,"Via Spinetta, 53",06054,Fratta Todina,Perugia,Umbria,,0758745048,,,,hanno agriturismo si degustazioni e winetoour,,,,12/17/2024,
Vigneti Zanatta ,,,info@vignetizanatta.it,vignetizanatta.it/,"Via Spirito Santo, 56",07026,Olbia,Sassari,Sardegna,,3486679492,,,,si visite booking sul sito,,,,12/15/2024,
Nani Rizzi,,,info@nanirizzi.it,nanirizzi.it,"Via Stanghe, 22",31049,Guia di Valdobbiadene,Treviso,Veneto,,0423900645,,,,,,,,,
Monti Rossi Vini Etna,,,info@montirossietnawine.com,montirossietnawine.com/,​​Via Stanislao Cannizzaro,95030,Nicolosi,Catania,Sicilia,,3409490384,,,,si visite,si,,,1/19/2025,
Umberto Cesari,,,info@umbertocesari.com,umbertocesari.com/,"Via Stanzano, 2160",40024,Castel San Pietro Terme,Bologna,Emilia Romagna,,051944732,,,,prezzi altini...fanno visite in vigna ordini sospesi dal 8 al 26 agosto,,,,12/6/2024,
Tenuta Madre,FIVI,,info@tenutamadre.it,tenutamadre.it,"Via Stazione Area Industriale Pip, S.N.C.",83010,Tufo,Avellino,Campania,,3338008884,,,,,,,,12/5/2024,
Azienda Agricola Folini Di Francesco Folini,FIVI,,info@folinivaltellina.it,http://www.folinivaltellina.it/,"Via Stazione, 2",23030,Chiuro,Sondrio,Lombardia,,3400955803,,,,,,,,12/8/2024,
Bèlon du Bèlon,,,info@franciacortabelon.it,franciacortabelon.it,Via Pianello,25064,Gussago,Brescia,Lombardia,,335 1433774,,,,,,,,,
Cantina Stefanoni ,,,info@cantinastefanoni.it,cantinastefanoni.it,"Via Stefanoni, 48",01027,Montefiascone,Viterbo,Lazio,,0761825651,,,,,,,,12/11/2024,
Cesarini Sforza Spumanti Spa,,,info@cesarinisforza.com,cesarinisforza.it,Via Stella 9A,38123,Trento,Trento,Trentino Alto Adige,,0461382200,,,,,,,,3/5/2025,
Nera Vini,,,info@neravini.com,neravini.com/it/,"Via Stelvio, 40/A",23030,Chiuro,Sondrio,Lombardia,,0342482631,,,,esportano in tutto il mondo...,,,,12/4/2024,
Azienda Agricola Altùris S.S.A.,,,info@alturis.it,alturis.it,"Via Strada Braide, 21",33043,Cividale del Friuli,Udine,Friuli Venezia Giulia,,0432716344,,,,Abbiamo lavorato i loro vini acquistati tramite Rocchi e Zocchi (distributori di Roma),,,,2/9/2025,
Ca' Dei Fiori,,,info@cadeifiorivini.it,cadeifiorivini.it,"Via Strada Di Guia,5",31049,Guia di Valdobbiadene,Treviso,Veneto,,333 8034730,,,,,,,,,
La Costa Di Ome,,,info@lacostadiome.it,lacostadiome.it,"Via Pianello, 16",25050,Ome,Brescia,Lombardia,,3336115649,,,,,,,,,
Rebuli,,,info@rebuli.it,rebuli.it,Via Strada Di Saccol 40,31049,Valdobbiadene,Treviso,Veneto,,0423973307,,,,,,,,,
Cantina Dela Serra,,,info@cantinadellaserra.it,cantinadellaserra.com/,"Via Strada Nuova, 12",10010,Piverone,Torino,Piemonte,,0125.72166,,,,,,,,12/8/2024,
Podere Casanova,,,info@poderecasanovavini.com,poderecasanovavini.com/,"Via Strada Provinciale 326, 196 - Località Tre Berte",53045,Montepulciano,Siena,Toscana,,0578896136,,,,agriturismo con piscina si visite si vineis si shoponline si scatole,,,,12/15/2024,
La Monacesca Società Agricola A R.L.,FIVI,,info@monacesca.it,monacesca.it,"Via Strada Regina, 48",62018,Potenza Picena,Macerata,Marche,,0733672641,,,,,,,,12/4/2024,
Polje ,,,info@polje.it,ND,Via Subida 23,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48160660,,,,,,,,2/17/2025,
Subida Di Monte,,,info@subidadimonte.it,subidadimonte.it/,Via Subida 6,34071,Cormòns,Gorizia,Friuli Venezia Giulia,,48161011,,,,No ribolla Gialla,,,,2/19/2025,
Trezero,FIVI,,info@3zero.it,3zero.it/,"Via Tabina, 3",33098,Valvasone,Pordenone,Friuli Venezia Giulia,,3495253625,,,,si visite,,,,12/8/2024,
Ripanero,,,soc.agricola.ripanero@gmail.com,ripanero.it,"Via Tancredi, 6",85028,Rionero in Vulture,Potenza,Basilicata,,3388020172,,,,vini bio e naturali si visite,,,,1/21/2025,
A6Mani,,,info@a6mani.com,a6mani.com,Via Taranto-Lecce 70,12083,Fragagnano,Taranto,Puglia,,3485556193,,,,Contact person: Maria Cavallo,,,,2/7/2025,
Cantina Vigne Matte,,,info@vignematte.it,vignematte.it,"Via Tea, 8 - Località Rolle",31030,Cison di Valmarino,Treviso,Veneto,,0438975798,,,,,,,,,
Marcel Zanolari,FIVI,,marcelzanolari@gmail.com,marcelzanolari.com,"Via Teglio, 10",23030,Bianzone,Sondrio,Lombardia,,393284527734,,,,,,,,12/8/2024,
Bianchini Rossetti,Scrivere dopo il Paestum,Alessandra,info@bianchinirossetti.com,bianchinirossetti.com,Via Ten. Trabucco,81030,Casale di Carinola,Caserta,Campania,Lucia,3929028138,,,,Lo acquistiamo con stappando tra qualche tempo (2-3 mesi),,Nessun Feedback,,12/5/2024,
Borgo Giulia ,,,info@borgogiulia.it,borgogiulia.it/,"Via Tenente Lignola, 51",84010,Corbara,Salerno,Campania,,081913011,,,,si visite in canina hanno anche linea cosmetica a base di cellule stamina vegetali.,,,,12/5/2024,
Cantine Matrone,FIVI,,info@cantinematrone.it,cantinematrone.it,"Via Tenente Luigi Rossi, 16",80042,Boscotrecase,Napoli,Campania,,ND,,,,,,,,12/5/2024,
Al Rocol,,,info@alrocol.com,alrocol.com,Via Provinciale 79,25050,Ome,Brescia,Lombardia,,0306852542,,,,,,,,,
Poderi Marini,FIVI,,poderimarini@gmail.com,poderimarini.it,"Via Termopili, 47",87069,San Demetrio Corone,Cosenza,Calabria,,3393000681,,,,,,,,12/6/2024,
Feotto Di Adriano Todaro,,,feottowine@libero.it,feottovini.it/,Via Terra Di Giulia,90048,San Giuseppe Jato,palermo,Sicilia,,3277378974,,,,,,,,12/6/2024,
Azienda Agricola Lombardi,FIVI,,lombardiaziendaagricola@gmail.com,aziendaagricolalombardi.com,"Via Terzorio, 92",18010,Santo Stefano al Mare,Imperia,Liguria,,3493521569,,,,"Etichette molto belle, azienda strutturata. Proporrei stappando visibilità + vineis + scatole",,,,1/27/2025,
Fattoria Moretto,FIVI,,info@fattoriamoretto.it,fattoriamoretto.it/,"Via Tiberia, 13/B",41014,Castelvetro di Modena,Modena,Emilia Romagna,,39059790183,,,,,,,,2/19/2025,
Casale Milli,,,info@tenutacasalemilli.it,tenutacasalemilli.it/,Via Tiberina 1435,05035,Narni,Terni,Umbria,,0744759028-31,,,,sito ...da rifare ...no shop on line no eventi in cantina visibili - vini presenti in gd todis,,,,12/10/2024,
Tenuta Del Conte,,,info@tenutadelconte.it,tenutadelconte.it,Via Tirone Angolo Via Della Trinità,88811,Cirò Marina,Crotone,Calabria,,096236239,,,,associato VAN,,,,1/28/2025,
Ippolito 1845,,,ippolito1845@ippolito1845.it,ippolito1845.it,"Via Tirone, 132",88811,Cirò Marina,Crotone,Calabria,,096231106,,,,(Da contattare per Vineis acquistiamo da Tomassucci),,,,12/6/2024,
Casa Di Baal,FIVI,,info@casadibaal.it,casadibaal.it,"Via Tiziano, 14",84096,Montecorvino Rovella,Salerno,Campania,,89981143,,,,carine tichette fanno visite anchre olio,,,,12/5/2024,
Cantina Chiorri,,,info@chiorri.it,chiorri.it,"Via Todi, 100",06070,S. Enea,Perugia,Umbria,,3391885087,,,,,,,,,
Colle Del Saraceno - Cantina Botti,,,info@cantinabotti.com,cantinabotti.com/,"Via Todi, 37/C – Località Pietrauta",06036,Montefalco,Perugia,Umbria,,3496640575,,,,"sito anche no, sagrantino anche passito- olio",,,,1/12/2025,
San Valentino Società Agricola Srl,,,info@vinisanvalentino.com,vinisanvalentino.com,"Via Tomasetta, 13",47923,Rimini,Ravenna,Emilia Romagna,,0541752231,,,,,,,,12/9/2024,
Vigne Sammarco,,,contatti@levignedisammarco.com,levignedisammarco.com/,"Via Tommaseo, 15/19",72020,Cellino San Marco,Brindisi,Puglia,,0831617776,,,,,,,,12/15/2024,
Casali Del Toppello,FIVI,,casalideltoppello@gmail.com,casalideltoppello.it,"Via Toppello, 5/7",06073,Corciano,Perugia,Umbria,,3339854593,,,,,,,,1/14/2025,
Villa Diamante,FIVI,,villadiamante1996@gmail.com,villadiamante.wine/,"Via Toppole, 16",83030,Montefredane,Avellino,Campania,,3476791469,,,,si visite,,,,12/5/2024,
Azienda Agricola Vallerosa Bonci,,,info@vallerosa-bonci.com,vallerosa-bonci.com/,"Via Toree,15-17",60034,Cupramontana,Ancona,Marche,,0731789129,,,,si visite con prenotazione da booking su sito,,,,12/11/2024,
Gaja,,,info@gajadistribuzione.it,gajadistribuzione.it,"Via Torino, 5",12050,Barbaresco ,Cuneo,Piemonte,, 0173635158,,,,,,,,,
Produttori Del Barbaresco,,,produttori@produttoridelbarbaresco.com,produttoridelbarbaresco.com,"Via Torino, 54",12050,Barbaresco,Cuneo,Piemonte,,0173635139,,,,,,,,12/15/2024,
Terra Donata,,,terradonata@libero.it ,terradonata.com,"Via Provinciale, 48",25030,Erbusco,Brescia,Lombardia,,0307267303,,,,,,,,,
La Marca Di San Michele,FIVI,,alessandro@lamarcadisanmichele.com,lamarcadisanmichele.com,"Via Torre, 13, 60034",60034,Cupramontana,Ancona,Marche,,731781183,,,,,,,,12/11/2024,
Derbusco Cives,,,info@derbuscocives.com,derbuscocives.com,"Via Provinciale, 83",25030,Erbusco,Brescia,Lombardia,,3929283698,02692740984,,,,,,,,
Amarano,Conosciuti da iovino,,info@amarano.it,ND,"Via Torre, 42",83040,Montemarano,Avellino,Campania,Adele Romano,3803690321,,,,,,Nessun Feedback,,12/5/2024,
Azienda Agricola Binomio Di S.Inama & S. Di Properzio,,,info@binomiowine.com,binomiowine.com/,Via Torretta 52,65010,Spoltore,Pescara,Abruzzo,,854478158,,,,da elenco claudio,,,,2/1/2025,
Fattoria La Valentina,,,paridem@lavalentina.it,lavalentina.it/,"Via Torretta, 52",65010,Spoltore,Pescara,Abruzzo,,0854478158,00299260687,,,da elenco claudio,,,,12/6/2024,
Azienda Agricola Pippo Greco Di Botti Carmela,Paestum Wine Fest,,info@pippogreco.it,pippogreco.it,"Via Torretta, 69",84043,Agropoli,Salerno,Campania,Giuseppe Greco,3294214777,,,,,,,,12/5/2024,
Botti Viticoltori,Paestum Wine Fest,,bottiemiliana@gmail.com,bottiviticoltori.it,"Via Torretta,63",84043,Agropoli,Salerno,Campania,,3384368886,,,,,,,,12/5/2024,
Torre Varano,,,info@torrevarano.it,torrevarano.it/it/,Via Torreuono 02,82030,TORRECUSO,Benevento,Campania,,0824876372,,,,,,,,12/5/2024,
Poggiotondo,,,info@poggiotondowines.com,poggiotondowines.com,"Via Torribina, 83",50050,Cerreto Guidi,Firenze,Toscana,,0571559167,,,,chianti si visite si shop,,,,12/17/2024,
Ronchi Di Castelluccio - Ronco Delle Ginestre,,,info.ronchidicastelluccio@rdcpdd.com,ronchidicastelluccio.com/contatti/,"Via Tramonto, 15",47015,Modigliana,Forli-Cesena,Emilia Romagna,,3472121158,,,,,,,,12/15/2024,
Firriato  ,,,info@firriato.it,firriato.it/,Via Trapani 4,91097,Paceto,Trapani,Sicilia,,0923882755,,,,favinia -,,,,12/8/2024,
Branciforti (Vedi Firriato),,,info@firriato.it,brancifortibordonaro.it/,"Via Trapani, 4",91027,Paceco,Trapani,Sicilia,,ND,,,,no contatti sul sito mandato messaggio da sito,,,,12/8/2024,
Feudo Gagliardi,FIVI,,info@feudogagliardi.it,feudogagliardi.it,"Via Trastevere, 88/A",89047,Roccella Ionica,Reggio-Calabria,Calabria,,096484621,,,,"Sembra una bella azienda, vende marmellate, può essere interessata alle scatole. Hanno agriturismo per vineis",,,,12/6/2024,
Cantina Sociale Giuliano Teatino,,,info@cantinagiulianoteatino.it,cantinagiulianoteatino.it/,"Via Tratturo, 192",66010,Giuliano Teatino,Chieti,Abruzzo,,0871718229,,,,,,,,12/6/2024,
Tenuta Del Travale,FIVI,,info@tenutadeltravale.it,tenutadeltravale.it,"Via Travale, 13",87050,Rovito,Cosenza,Calabria,,3937150240,,,,,,,,12/6/2024,
Mccalin Vini Artigiani Naturali,,,federiconardi@mccalin.it,mccalin.it/,Via Tre Caravelle 36,64014,Martinsicuro,Teramo,Abruzzo,,3395036327,,,,vini naturali associato VAN,si,,,1/29/2025,
Contrada Salandra,FIVI,,contradasalandra@gmail.com,contradasalandra.it,"Via Tre Piccioni, 40",80078,Pozzuoli,Napoli,Campania,,815265258,,,,,,,,12/5/2024,
Vini Belluzzo ,,,info@vinibelluzzo.com,vinibelluzzo.com/,"Via Tricesimo, 10",33017,Tarcento,Udine,Friuli Venezia Giulia,,3898824698,,,,,,,,12/11/2024,
Cafelice,FIVI,,amministrazione@cafelice.it,cafelice.it,"Via Trieste, 11",33045,Nimis,Udine,Friuli Venezia Giulia,,3313234674,,,,,,,,2/10/2025,
Azienda Vinicola Gabbas,,,info@gabbas.it,gabbas.it/,"Via Trieste, 59",08100,Nuoro,Nuoro,Sardegna,,078433745,,,,,,,,12/15/2024,
Sadivino,FIVI,,sadivino@sadivino.com,sadivino.com,"Via Trivella, 17",47016,Predappio,Forli-Cesena,Emilia Romagna,Cristiano,3665949948,,,,,,,,12/6/2024,
Barbanera,,,info@barbaneravini.com,ND,Via Tronzano 28/B,10155,Torio,Torino,Piemonte,,0112423241,,,,acquistiamo da tomassucci,,,,12/8/2024,
Artico,FIVI,,federico.artico@gmail.com,articovini.it,"Via Tufello, 35",04011,Aprilia,Latina,Lazio,,3495249145,,,,,,,,12/11/2024,
Francesconi Paolo Viticoltore,FIVI,,paolo@francesconipaolo.it,francesconipaolo.it,"Via Tuliero, 154",48018,Faenza,Ravenna,Emilia Romagna,,54643213,,,,,,,,12/6/2024,
Raina,FIVI,,info@vini-raina.it,raina.it/,"Via Turri Case Sparse, 42",06036,Montefalco,Perugia,Umbria,Francesco Mariani,3476014856,,,,,,,,12/15/2024,
Cantine Paololeo,Paestum Wine Fest,,info@paololeo.it,paololeo.it/,"Via Tuturano, 21",72025,San Donaci,Brindisi,Puglia,Paolo Leo,3356295916,,,,,,,,2/4/2025,
Uccellaia,FIVI,,aziendauccellaia@gmail.com,uccellaia.com,"Via Uccellaia 80, Frazione Albarola Vigolzone",29020,Piacenza,Piacenza,Emilia Romagna,,3383485415,,,,si visite,,,,12/6/2024,
Vitilia,,,nd,ND,Via Uclanzi 1,34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,,ND,,,,,,,,,
Ivan Vogric,,,ivan.vogric@gmail.com,ivanvogric.com/,Via Uclanzi 16,34070,San Floriano del Collio,Gorizia,Friuli Venezia Giulia,,3476768565,,,,No Ribolla e No Bottiglia Collio,,,,2/16/2025,
Ronc Dai Luchis,FIVI,,deluxfe@yahoo.it,roncdailuchis.com,"Via Udine, 260",33040,Faedis,Udine,Friuli Venezia Giulia,,0432728108-340245204,,,,,,,,12/8/2024,
Alberto Lot,,,info@albertolot.it,albertolot.it,"Via Ugo Foscolo, 11",33077,Sacile,Pordenone,Friuli Venezia Giulia,,3497864087,,,,vini naturali,,,,2/9/2025,
Cantine Carboni di Elisa Carboni ,,,vinicarboniortueri@gmail.com,vinicarboni.it,Via Umberto 56,08036,Ortueri,Nuoro,Sardegna,,3481799540,,,,Scritti per Mail,,,,,
Hauner Carlo Az. Agr. Spa,,Roberto,cantina@hauner.it,hauner.it,Via Umberto I,98050,Santa Marina Salina,Messina,Sicilia,Francesca Paino - Hauner Carlo,090.9843141,,,,acquistiamo da tomassucci,,Nessun Feedback,,12/8/2024,
Robb De Matt,,,robbdematt@outlook.com,ND,"Via Umberto I, 125",82030,Foglianise,Benevento,Campania,,3939061961,,,,vini naturali,,,,1/21/2025,
Azienda Vitivinicola Colline Del Vento ,,,info@collinedelvento.it,collinedelvento.it/,"Via Umberto I, 18",09049,Villasimius,Cagliari,Sardegna,,3921152715,,,,,,,,12/15/2024,
Fattoria Nicolucci,,Roberto,info@vininicolucci.com,vininicolucci.com,"Via Umberto I, 21",47016,Predappio,Forli-Cesena,Emilia Romagna,Federica Rossi,0543922361,,,,Abbiamo comprato un paio di volte i loro prodotti,,Nessun Feedback,,12/8/2024,
Bruna,FIVI,,info@brunapigato.it,brunapigato.it,"Via Umberto I, 81",18020,Ranzo-Borgo,Imperia,Liguria,,183318082,,,,,,,,1/27/2025,
Castello Di Verduno,,,info@cantinecastellodiverduno.it,cantinecastellodiverduno.it/,"Via Umberto I, 9",12060,Verduno,Cuneo,Piemonte,,390172470284,,,,langhe no shop on line si visite,,,,12/8/2024,
Cantine Carboni Di Elisa Carboni ,,,info@vinicarboni.it,vinicarboni.it/,"Via Umberto, 56",08036,Ortueri,Nuoro,Sardegna,,393481799540,,,,ci ha scritto ci ha trovato su Insta 22 agosto ok accordo trovato spedite scatole 27 ago in attesa del vino inviata mail per vineis,,,,12/4/2024,
Antichi Poderi Di Jerzu,,,info@jerzuantichipoderi.it,jerzuantichipoderi.it/,"Via Umberto, I",08044,Jerzu,Nuoro,Sardegna,,0782270028,,,,si visite,,,,12/17/2024,
Cadinu Francesco,,,cantinafrancescocadinu@gmail.com,francescocadinu.it/,"Via V. Emanuele Ii, 37",08024,Mamoiada,Nuoro,Sardegna,,3290906997,,,,si visite in cantina,,,,12/15/2024,
Azienda Agricola Cascina Piano Sas,FIVI,,info@cascinapiano.it,cascinapiano.it,"Via Val Castellana, 33",21021,Angera,Varese,Lombardia,Martina Cocci,0331930928,,,,ok ci ha contattato la loro marketing mng martina cocci fatta call 23 dic mandare tutte le presentazioni e il listino scatole a lei ci risentiamo inizi anno,,,,12/8/2024,
Tenuta Di Trinoro,,,info@vinifranchetti.com,vinifranchetti.com,"Via Val D'Orcia, 15",53047,Sarteano,Siena,Toscana,,0578267110,,,,,,,,,
Azienda Agricola Castel De Paolis ,,Alessandra,info@casteldepaolis.com,casteldepaolis.com/,Via Val De Paolis,00046,Grottaferrata,Roma,Lazio,Fabrizio,69413648,,,,!! NON CI SIAMO PIU SENTITI. interessati hanno risposto alla mail organizzare call - riproposta nuova call hanno ricevuto offerta e vogliono chiarire alcuni punti,,Nessun Feedback,,12/11/2024,
Cantina Sociale Gallura,,,info@cantinagallura.com,cantinagallura.net/,"Via Val Di Cossu, 9",07029,Tempio Pausania,Sassari,Sardegna,,079631241,,,,vermentino di gallura,,,,12/15/2024,
Terre Di San Ginesio,,,info@terredisanginesio.it,terredisanginesio.it/,"Via Val Di Fiastra, 13",62020,Ripe San Ginesio,Macerata,Marche,,3465229390,,,,si visite,,,,12/4/2024,
Fattoria Licia,FIVI,,info@fattorialicia.it,fattorialicia.it,"Via Val Di Foro, 72",66010,Villamagna,Chieti,Abruzzo,,871300252,,,,,,,,12/4/2024,
Cantina Cornarea,conosciuti a team's,,info@cornarea.com,cornarea.com/,"Via Valentino, 150",12043,Canale,Cuneo,Piemonte,Piefrancesco Bovone,017365636,,,,reinviata email 07/08,,Roberto,,12/15/2024,
Bariselli Gabriella,,,info@gabriellabariselli.com,gabriellabariselli.com,"Via Rampaneto, 10/12",25030,Erbusco,Brescia,Lombardia,,0307760063,,,,,,,,,
La Perla - Marco Triacca,FIVI,,info@vini-laperla.com,vini-laperla.com,"Via Valgella, 29B",23036,Tresenda di Teglio,Sondrio,Lombardia,,3462878894,,,,,,,,12/8/2024,
Casa Martelletti,,,info@casamartelletti.it,casamartelletti.it/,Via Valgera 94,14100,Asti,Asti,Piemonte,,0141 446811,,,,,,,,2/24/2025,
Cantina Valle Del Canneto,FIVI,,cristianoorchi@gmail.com,cantinavalledelcanneto.it/,"Via Valle Del Canneto, 10",00052,Cerveteri,Roma,Lazio,,637897223,,,,,,,,12/11/2024,
Biodinamica Carlo Noro,,,biodinamicanoro@gmail.com,biodinamicanoro.net,"Via Valle Fredda, 31",00030,Labico,Roma,Lazio,,069511243,,,,,,,,,
Le Quattro Terre,,,info@quattroterre.it,quattroterre.it,"Via Risorgimento, 11",25040,Corte Franca ,Brescia,Lombardia,,3406456031,,,,,,,,,
Torchio Vitivinicola Bio,FIVI,,giordano.torchio@gmail.com,torchiogiordano.it,"Via Valle, 5",26041,Casalmaggiore,Cremona,Lombardia,,375254339,,,,si visite ma su prenotazione via mail o telefono hanno anche produzioni orto e cereali,,,,2/23/2025,
Cantina Marconi,,,marconi.e@tiscali.it,cantinamarconi.it,"Via Vallericcia, 47",00072,Ariccia,Roma,Lazio,,3337872348,,,,no sito c'e un marconi vini ad ancona,,,,12/11/2024,
Az. Agricola Santa Giusta ,,,info@santa-giusta.it,www.santa-giusta.it,"Via Vallerosa, 13",02040,Selci,Rieti,Lazio,,3336982620,,,,no email chiamare,,,,12/11/2024,
Corte Fabbri,FIVI,,info@cortefabbri.it,cortefabbri.it,"Via Vallescuropasso, 131",27043,Broni,Pavia,Lombardia,,3476602253,,,,,,,,12/8/2024,
Azienda Agricola Bredasole,,,ferrari@bredasole.it,bredasole.it,"Via S. Pietro, 44",25030,Partinico,Brescia,Lombardia,,035 91 04 07,,,,,,,,,
Vigna Dorata,,,info@vignadorata.it,vignadorata.com/it/,"Via Sala, 80",25046,Cazzago San Martino,Brescia,Lombardia,,0307254275,,,,,,,,,
Ferghettina,,,info@ferghettina.it,ferghettina.it,"Via Saline, 11",25030,Adro,Brescia,Lombardia,,0307451212,,,,,,,,,
Quadra,,,info@quadrafranciacorta.it,quadrafranciacorta.it,"Via Sant'Eusebio, 1",25033,Cologne,Brescia,Lombardia,,ND,03055570166,,,,,,,,
Nove Lune,FIVI,,info@nove-lune.com,https://www.nove-lune.com/,"Via Valpredina, 5",24060,Cenate Sopra,Bergamo,Lombardia,,3355827757,,,,,,,,12/6/2024,
Società Agricola Facchetti,,,info@aafacchetti.it,aafacchetti.it,"Via Solferino, 11",25030,Erbusco,Brescia,Lombardia,,0307267283,00706870987,,,,,,,,
Vini Casolari,,,info@vinicasolari.it,vinicasolari.it,"Via Vandini, 461",41017,Rami di Ravarino Modena,Modena,Emilia Romagna,,15061.18.00,,,,,,,,2/19/2025,
Fattoria Lucesole,,,info@fattorialucesole.it,fattorialucesole.it/,"Via Varano, 147",60129,Ancona,Ancona,Marche,,3316017892,,,,si visite prenotazione via mail o tel hanno una sezione dedicata horeca sul sito olio e vino,,,,12/6/2024,
Casa Vinicola Pesaresi Varà ,,,pesaresirossoconero@gmail.com,varavignaioli.it,"Via Varano, 293",60129,Ancona,Ancona,Marche,Giovanni,3389924325,,,,varavignaioli.it/,,,,12/11/2024,
Santa Lucia  ,,,info@agrisantalucia.com,agrisantalucia.com/,"Via Varna, 119",50050,Gambassi Terme,Firenze,Toscana,,0571638900,,,,si shop si visite,,,,12/9/2024,
